employee_id,name,gender,age,department,job_role,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time
EMP_COMP_GOOD_02221_00001,Richard White,Female,51,Human Resources,Financial Analyst,2,1,2,4,2,8660,21,2,8,3,8,8,Travel_Frequently,No
EMP_COMP_GOOD_02221_00002,Robert Gonzalez,Female,54,Legal,Business Analyst,2,1,4,2,2,5692,13,0,1,1,4,23,Travel_Rarely,No
EMP_COMP_GOOD_02221_00003,Paul Davis,Male,45,IT,Accountant,4,2,4,3,2,16262,21,2,15,6,25,26,Travel_Rarely,No
EMP_COMP_GOOD_02221_00004,Elizabeth Perez,Female,55,Support,Software Engineer,4,2,1,2,1,6572,17,1,3,3,11,6,Travel_Frequently,Yes
EMP_COMP_GOOD_02221_00005,Donna Robinson,Male,23,Research and Development,IT Administrator,3,2,3,1,2,5270,21,1,9,5,11,10,Travel_Rarely,No
EMP_COMP_GOOD_02221_00006,John Clark,Male,35,Sales,Sales Representative,3,4,1,3,2,9367,20,0,3,0,4,28,Travel_Frequently,No
EMP_COMP_GOOD_02221_00007,David Lewis,Female,34,Finance,Research Scientist,2,3,4,2,1,7138,18,3,11,9,17,11,Non-Travel,Yes
EMP_COMP_GOOD_02221_00008,John Anderson,Male,34,Human Resources,Support Specialist,2,2,3,2,3,15707,12,1,9,7,11,11,Non-Travel,Yes
EMP_COMP_GOOD_02221_00009,Mary Walker,Female,26,Research and Development,Research Scientist,3,4,2,2,3,8574,13,1,12,10,20,23,Travel_Rarely,Yes
EMP_COMP_GOOD_02221_00010,Lisa Ramirez,Female,25,Human Resources,Financial Analyst,2,1,1,3,3,15474,25,1,1,1,4,26,Travel_Frequently,No
EMP_COMP_GOOD_02221_00011,Susan Perez,Male,39,Support,Software Engineer,5,4,4,4,4,6013,17,2,10,8,14,5,Travel_Frequently,Yes
EMP_COMP_GOOD_02221_00012,Daniel Harris,Female,31,Operations,Business Analyst,5,1,3,1,2,6010,21,0,3,0,9,25,Travel_Frequently,No
EMP_COMP_GOOD_02221_00013,Christopher Miller,Male,35,Sales,IT Administrator,4,3,2,3,4,6006,24,2,11,8,18,26,Travel_Rarely,Yes
EMP_COMP_GOOD_02221_00014,Margaret Ramirez,Female,46,Marketing,Business Analyst,4,1,4,3,4,10163,20,3,5,5,12,3,Non-Travel,No
EMP_COMP_GOOD_02221_00015,Daniel Ramirez,Female,50,Operations,Support Specialist,1,3,1,1,1,7251,16,2,15,1,21,18,Travel_Rarely,Yes
EMP_COMP_GOOD_02221_00016,Susan Gonzalez,Male,46,IT,Financial Analyst,5,3,2,4,4,6451,11,2,5,4,7,7,Travel_Frequently,Yes
EMP_COMP_GOOD_02221_00017,Susan Ramirez,Female,38,Marketing,Accountant,1,2,1,3,2,16246,20,2,0,0,0,15,Travel_Rarely,No
EMP_COMP_GOOD_02221_00018,Charles Williams,Female,56,Legal,Financial Analyst,4,2,1,3,4,10714,16,3,2,1,7,26,Travel_Rarely,Yes
