employee_id,name,gender,age,department,job_role,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time
EMP_COMP_GOOD_02032_00001,Andrew Smith,Female,33,Finance,Software Engineer,3,4,4,3,1,14699,15,3,5,3,13,5,Travel_Frequently,Yes
EMP_COMP_GOOD_02032_00002,Daniel Miller,Female,39,Engineering,Legal Counsel,1,2,4,3,3,15838,19,3,7,6,17,25,Non-Travel,Yes
EMP_COMP_GOOD_02032_00003,Betty Lewis,Female,27,Legal,Financial Analyst,1,3,3,4,2,4055,17,1,1,1,9,19,Travel_Frequently,Yes
EMP_COMP_GOOD_02032_00004,Donna Smith,Male,42,Sales,Business Analyst,2,4,3,3,1,5009,25,2,12,2,14,13,Non-Travel,Yes
EMP_COMP_GOOD_02032_00005,Nancy Hernandez,Female,49,IT,Product Manager,2,3,3,2,2,12084,19,3,6,0,6,3,Travel_Rarely,Yes
EMP_COMP_GOOD_02032_00006,Anthony Harris,Male,23,Support,Sales Representative,5,2,4,2,4,9894,16,0,10,6,11,3,Non-Travel,Yes
EMP_COMP_GOOD_02032_00007,Sandra Rodriguez,Male,34,Operations,Financial Analyst,5,1,1,2,1,7616,24,3,11,10,14,19,Travel_Rarely,No
EMP_COMP_GOOD_02032_00008,Betty Williams,Male,41,Sales,Software Engineer,2,4,1,1,3,4730,20,0,9,5,14,2,Non-Travel,Yes
EMP_COMP_GOOD_02032_00009,Richard Brown,Female,33,Finance,HR Manager,4,3,1,3,2,3963,12,0,11,3,12,17,Travel_Rarely,No
EMP_COMP_GOOD_02032_00010,Kimberly Martinez,Female,55,Marketing,IT Administrator,4,1,2,4,4,14946,11,2,11,6,21,10,Travel_Rarely,No
EMP_COMP_GOOD_02032_00011,Andrew Lee,Female,35,Human Resources,Marketing Manager,5,3,4,2,2,6103,12,2,8,5,9,27,Travel_Rarely,Yes
EMP_COMP_GOOD_02032_00012,Matthew Jackson,Female,56,Legal,Research Scientist,4,2,3,3,3,5966,14,2,13,0,16,6,Travel_Rarely,Yes
