employee_id,name,gender,age,department,job_role,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time
EMP_COMP_BAD_01141_00001,Amanda Brown,Male,58,Marketing,Sales Representative,2,1,3,2,4,5053,21,1,7,7,15,4,Travel_Frequently,No
EMP_COMP_BAD_01141_00002,Daniel Smith,Male,25,Human Resources,Legal Counsel,1,1,4,2,3,3750,15,1,0,0,10,5,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00003,Mary Lopez,Female,57,Support,Business Analyst,4,3,4,4,1,12809,12,2,13,5,18,3,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00004,Jennifer Thompson,Male,45,IT,Financial Analyst,4,4,3,3,2,7551,17,3,11,5,13,6,Travel_Frequently,No
EMP_COMP_BAD_01141_00005,Mary Harris,Female,40,Sales,Financial Analyst,4,2,3,1,2,6335,25,1,15,4,21,23,Non-Travel,Yes
EMP_COMP_BAD_01141_00006,Amanda Miller,Female,34,Finance,Marketing Manager,3,2,1,2,1,6665,23,0,15,5,22,19,Travel_Rarely,No
EMP_COMP_BAD_01141_00007,Barbara Williams,Female,41,Human Resources,Research Scientist,4,1,1,4,2,9989,11,0,10,1,11,4,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00008,Nancy Garcia,Female,36,Human Resources,Legal Counsel,2,2,3,1,2,5321,21,1,7,7,13,13,Travel_Frequently,Yes
EMP_COMP_BAD_01141_00009,Margaret Lee,Male,40,Support,Software Engineer,5,3,2,2,2,16223,12,2,13,10,23,22,Travel_Rarely,No
EMP_COMP_BAD_01141_00010,Barbara Thomas,Female,32,Operations,Business Analyst,3,2,1,4,4,10429,23,1,9,5,19,13,Non-Travel,Yes
EMP_COMP_BAD_01141_00011,Charles Lopez,Female,43,Marketing,Product Manager,1,2,3,4,3,10896,11,0,14,0,23,14,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00012,Robert Lee,Male,47,Research and Development,Software Engineer,5,4,1,4,1,9942,19,3,6,0,9,17,Non-Travel,No
EMP_COMP_BAD_01141_00013,David Lopez,Male,44,IT,Operations Manager,3,1,2,1,1,6764,13,3,14,10,16,14,Travel_Frequently,Yes
EMP_COMP_BAD_01141_00014,Patricia Jackson,Male,35,Research and Development,Legal Counsel,5,1,3,3,3,6125,18,0,15,10,15,3,Travel_Frequently,Yes
EMP_COMP_BAD_01141_00015,Robert Perez,Female,57,Legal,Legal Counsel,2,1,4,1,4,10417,22,3,5,5,12,24,Travel_Frequently,No
EMP_COMP_BAD_01141_00016,Jennifer Robinson,Male,43,Marketing,Product Manager,4,1,1,2,1,10525,11,3,13,9,23,26,Non-Travel,No
EMP_COMP_BAD_01141_00017,Margaret Williams,Male,34,Operations,Support Specialist,3,1,2,4,2,5487,12,2,0,0,7,20,Travel_Rarely,No
EMP_COMP_BAD_01141_00018,Margaret Martinez,Male,55,Research and Development,Software Engineer,1,2,1,4,3,11711,19,3,15,5,18,8,Travel_Frequently,Yes
EMP_COMP_BAD_01141_00019,Joseph Wilson,Female,55,Human Resources,Accountant,2,2,2,2,3,7169,17,1,10,7,20,18,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00020,Paul Rodriguez,Male,30,Finance,Sales Representative,4,1,1,2,1,9194,15,1,0,0,10,14,Non-Travel,No
EMP_COMP_BAD_01141_00021,Steven Brown,Male,26,IT,Product Manager,3,1,4,3,2,11117,22,1,8,1,9,3,Non-Travel,No
EMP_COMP_BAD_01141_00022,Andrew Martin,Female,46,Support,Data Scientist,1,3,4,4,3,8996,14,3,2,1,6,11,Travel_Rarely,No
EMP_COMP_BAD_01141_00023,William Jones,Male,42,Legal,Operations Manager,1,1,2,1,3,7077,23,0,5,5,6,9,Travel_Frequently,Yes
EMP_COMP_BAD_01141_00024,Melissa Jackson,Female,52,Legal,Operations Manager,5,2,2,1,1,7934,19,3,0,0,0,19,Travel_Frequently,Yes
EMP_COMP_BAD_01141_00025,Emily Garcia,Female,52,Research and Development,Accountant,3,3,3,1,3,7049,14,3,7,7,11,13,Travel_Rarely,No
EMP_COMP_BAD_01141_00026,Elizabeth Lewis,Male,34,Finance,HR Manager,2,2,3,4,2,10088,16,0,15,10,23,8,Non-Travel,Yes
EMP_COMP_BAD_01141_00027,Donna Martinez,Male,51,Engineering,Support Specialist,4,4,2,3,3,12626,21,2,10,9,13,2,Non-Travel,No
EMP_COMP_BAD_01141_00028,Barbara Moore,Male,41,Legal,Legal Counsel,5,2,2,3,1,7052,20,1,6,6,16,1,Travel_Rarely,No
EMP_COMP_BAD_01141_00029,Betty Williams,Female,28,Operations,Data Scientist,5,4,1,3,1,4779,18,2,15,1,18,10,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00030,James Miller,Female,52,IT,Legal Counsel,1,4,4,2,3,7297,19,2,11,4,17,8,Non-Travel,Yes
EMP_COMP_BAD_01141_00031,Joseph Gonzalez,Female,24,Marketing,Data Scientist,3,3,1,3,4,11842,12,2,4,4,5,21,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00032,Ashley Martin,Male,48,Research and Development,HR Manager,2,4,2,4,4,10867,25,3,3,3,8,2,Travel_Frequently,No
EMP_COMP_BAD_01141_00033,Sandra Williams,Male,36,Research and Development,Operations Manager,2,3,2,1,4,4496,12,3,13,9,17,29,Travel_Rarely,Yes
EMP_COMP_BAD_01141_00034,Emily Hernandez,Female,29,Human Resources,Financial Analyst,5,2,1,4,2,5615,16,2,6,3,12,2,Travel_Rarely,Yes
